09203337.jpg - 09.09.2011 20:33 X(m): -1946.46, Y(m): 1719.14, Alt(m): 1.44, Depth(m): 33.74, V(m/s): 0.08, Heading(deg): 101.2, Pitch(deg): -1.1, Flash time: 0
09203339.jpg - 09.09.2011 20:33 X(m): -1946.33, Y(m): 1719.03, Alt(m): 1.47, Depth(m): 33.74, V(m/s): 0.09, Heading(deg): 101.8, Pitch(deg): -1.1, Flash time: 0
09203341.jpg - 09.09.2011 20:33 X(m): -1946.20, Y(m): 1718.91, Alt(m): 1.53, Depth(m): 33.69, V(m/s): 0.09, Heading(deg): 102.2, Pitch(deg): -0.8, Flash time: 0
09203343.jpg - 09.09.2011 20:33 X(m): -1946.07, Y(m): 1718.80, Alt(m): 1.54, Depth(m): 33.67, V(m/s): 0.09, Heading(deg): 102.5, Pitch(deg): -0.8, Flash time: 0
09203345.jpg - 09.09.2011 20:33 X(m): -1945.94, Y(m): 1718.67, Alt(m): 1.57, Depth(m): 33.63, V(m/s): 0.09, Heading(deg): 102.7, Pitch(deg): -0.8, Flash time: 0
09203347.jpg - 09.09.2011 20:33 X(m): -1945.80, Y(m): 1718.54, Alt(m): 1.59, Depth(m): 33.61, V(m/s): 0.09, Heading(deg): 102.8, Pitch(deg): -0.8, Flash time: 0
09203349.jpg - 09.09.2011 20:33 X(m): -1945.67, Y(m): 1718.42, Alt(m): 1.62, Depth(m): 33.57, V(m/s): 0.09, Heading(deg): 102.8, Pitch(deg): -0.6, Flash time: 0
09203351.jpg - 09.09.2011 20:33 X(m): -1945.53, Y(m): 1718.28, Alt(m): 1.65, Depth(m): 33.51, V(m/s): 0.10, Heading(deg): 102.6, Pitch(deg): -0.6, Flash time: 1
09203353.jpg - 09.09.2011 20:33 X(m): -1945.40, Y(m): 1718.15, Alt(m): 1.67, Depth(m): 33.50, V(m/s): 0.09, Heading(deg): 102.4, Pitch(deg): -0.6, Flash time: 5
09203355.jpg - 09.09.2011 20:33 X(m): -1945.27, Y(m): 1718.01, Alt(m): 1.68, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 102.1, Pitch(deg): -0.6, Flash time: 5
09203357.jpg - 09.09.2011 20:33 X(m): -1945.13, Y(m): 1717.87, Alt(m): 1.70, Depth(m): 33.48, V(m/s): 0.10, Heading(deg): 101.7, Pitch(deg): -0.3, Flash time: 5
09203359.jpg - 09.09.2011 20:33 X(m): -1945.00, Y(m): 1717.73, Alt(m): 1.71, Depth(m): 33.45, V(m/s): 0.10, Heading(deg): 101.2, Pitch(deg): -0.3, Flash time: 7
09203401.jpg - 09.09.2011 20:34 X(m): -1944.86, Y(m): 1717.59, Alt(m): 1.72, Depth(m): 33.46, V(m/s): 0.10, Heading(deg): 100.6, Pitch(deg): -0.3, Flash time: 7
09203403.jpg - 09.09.2011 20:34 X(m): -1944.73, Y(m): 1717.46, Alt(m): 1.72, Depth(m): 33.46, V(m/s): 0.09, Heading(deg): 100.0, Pitch(deg): -0.3, Flash time: 8
09203405.jpg - 09.09.2011 20:34 X(m): -1944.59, Y(m): 1717.32, Alt(m): 1.73, Depth(m): 33.47, V(m/s): 0.10, Heading(deg): 99.5, Pitch(deg): -0.3, Flash time: 8
09203407.jpg - 09.09.2011 20:34 X(m): -1944.46, Y(m): 1717.19, Alt(m): 1.73, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 99.0, Pitch(deg): -0.3, Flash time: 8
09203409.jpg - 09.09.2011 20:34 X(m): -1944.32, Y(m): 1717.06, Alt(m): 1.72, Depth(m): 33.49, V(m/s): 0.09, Heading(deg): 98.6, Pitch(deg): -0.3, Flash time: 8
09203411.jpg - 09.09.2011 20:34 X(m): -1944.19, Y(m): 1716.94, Alt(m): 1.71, Depth(m): 33.52, V(m/s): 0.09, Heading(deg): 98.3, Pitch(deg): -0.6, Flash time: 8
09203413.jpg - 09.09.2011 20:34 X(m): -1944.05, Y(m): 1716.81, Alt(m): 1.70, Depth(m): 33.54, V(m/s): 0.09, Heading(deg): 98.1, Pitch(deg): -0.6, Flash time: 8
09203415.jpg - 09.09.2011 20:34 X(m): -1943.91, Y(m): 1716.69, Alt(m): 1.70, Depth(m): 33.56, V(m/s): 0.09, Heading(deg): 98.0, Pitch(deg): -0.6, Flash time: 8
09203417.jpg - 09.09.2011 20:34 X(m): -1943.77, Y(m): 1716.59, Alt(m): 1.69, Depth(m): 33.52, V(m/s): 0.09, Heading(deg): 98.1, Pitch(deg): -0.6, Flash time: 8
09203419.jpg - 09.09.2011 20:34 X(m): -1943.64, Y(m): 1716.48, Alt(m): 1.68, Depth(m): 33.53, V(m/s): 0.09, Heading(deg): 98.3, Pitch(deg): -0.6, Flash time: 8
09203421.jpg - 09.09.2011 20:34 X(m): -1943.50, Y(m): 1716.37, Alt(m): 1.69, Depth(m): 33.57, V(m/s): 0.09, Heading(deg): 98.7, Pitch(deg): -0.3, Flash time: 8
09203423.jpg - 09.09.2011 20:34 X(m): -1943.36, Y(m): 1716.27, Alt(m): 1.68, Depth(m): 33.56, V(m/s): 0.08, Heading(deg): 99.3, Pitch(deg): -0.6, Flash time: 8
09203425.jpg - 09.09.2011 20:34 X(m): -1943.22, Y(m): 1716.17, Alt(m): 1.66, Depth(m): 33.58, V(m/s): 0.09, Heading(deg): 100.0, Pitch(deg): -0.6, Flash time: 8
09203427.jpg - 09.09.2011 20:34 X(m): -1943.08, Y(m): 1716.07, Alt(m): 1.66, Depth(m): 33.57, V(m/s): 0.09, Heading(deg): 100.9, Pitch(deg): -0.3, Flash time: 8
